MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
PHI vs. BOS,2/12/2019,L,48,109,39,80,48.8,9,27,33.3,22,31,71,10,37,47,21,14,4,3,20,-3
LAL @ ATL,2/12/2019,L,48,113,41,95,43.2,14,40,35,17,25,68,10,34,44,25,17,10,6,24,-4
ORL @ NOP,2/12/2019,W,48,118,42,95,44.2,13,32,40.6,21,22,95.5,12,46,58,32,10,9,8,14,30
MEM vs. SAS,2/12/2019,L,48,107,44,89,49.4,8,24,33.3,11,16,68.8,8,40,48,25,13,5,6,23,-1
SAS @ MEM,2/12/2019,W,48,108,36,86,41.9,13,21,61.9,23,29,79.3,10,33,43,23,8,6,5,14,1
BOS @ PHI,2/12/2019,W,48,112,41,88,46.6,13,29,44.8,17,21,81,8,33,41,24,5,9,3,23,3
ATL vs. LAL,2/12/2019,W,48,117,40,92,43.5,16,42,38.1,21,26,80.8,6,41,47,29,21,8,6,24,4
POR vs. GSW,2/13/2019,W,48,129,43,93,46.2,16,37,43.2,27,34,79.4,14,34,48,24,4,3,4,16,22
MIA @ DAL,2/13/2019,W,48,112,44,81,54.3,12,30,40,12,16,75,7,40,47,24,19,8,3,20,11
HOU @ MIN,2/13/2019,L,48,111,40,98,40.8,19,53,35.8,12,13,92.3,13,24,37,23,11,5,2,18,-10
GSW @ POR,2/13/2019,L,48,107,39,97,40.2,13,38,34.2,16,18,88.9,18,31,49,26,9,1,9,26,-22
DET @ BOS,2/13/2019,L,48,110,36,84,42.9,13,40,32.5,25,34,73.5,10,31,41,19,11,7,1,18,-8
BKN @ CLE,2/13/2019,W,63,148,52,113,46,18,45,40,26,34,76.5,16,44,60,31,18,4,13,23,9
TOR vs. WAS,2/13/2019,W,48,129,44,92,47.8,16,38,42.1,25,30,83.3,9,43,52,32,15,8,8,27,9
WAS @ TOR,2/13/2019,L,48,120,37,84,44,14,40,35,32,39,82.1,4,39,43,27,18,6,3,28,-9
PHI @ NYK,2/13/2019,W,48,126,42,78,53.8,8,23,34.8,34,43,79.1,6,41,47,33,15,8,7,24,15
DAL vs. MIA,2/13/2019,L,48,101,34,88,38.6,15,52,28.8,18,22,81.8,10,28,38,24,12,10,0,17,-11
MEM @ CHI,2/13/2019,L,48,110,43,89,48.3,11,31,35.5,13,17,76.5,6,26,32,33,9,9,5,19,-12
MIL @ IND,2/13/2019,W,48,106,38,86,44.2,9,31,29,21,29,72.4,10,42,52,22,10,7,3,14,9
SAC @ DEN,2/13/2019,L,48,118,42,93,45.2,11,32,34.4,23,28,82.1,10,34,44,30,12,12,1,23,-2
NYK vs. PHI,2/13/2019,L,48,111,40,100,40,9,29,31,22,27,81.5,14,29,43,27,12,8,4,27,-15
MIN vs. HOU,2/13/2019,W,48,121,49,90,54.4,10,20,50,13,17,76.5,13,34,47,31,10,4,5,13,10
DEN vs. SAC,2/13/2019,W,48,120,45,99,45.5,8,31,25.8,22,25,88,14,39,53,26,14,7,1,19,2
IND vs. MIL,2/13/2019,L,48,97,37,88,42,10,27,37,13,15,86.7,4,39,43,22,11,6,4,23,-9
LAC vs. PHX,2/13/2019,W,48,134,50,84,59.5,11,22,50,23,30,76.7,7,36,43,33,11,12,9,25,27
PHX @ LAC,2/13/2019,L,48,107,40,86,46.5,8,30,26.7,19,25,76,8,28,36,24,17,6,4,23,-27
BOS vs. DET,2/13/2019,W,48,118,45,88,51.1,16,39,41,12,15,80,10,37,47,32,16,8,2,22,8
CHI vs. MEM,2/13/2019,W,48,122,45,80,56.3,8,20,40,24,29,82.8,9,37,46,28,14,2,3,19,12
CLE vs. BKN,2/13/2019,L,63,139,54,120,45,18,42,42.9,13,18,72.2,18,39,57,35,15,7,4,37,-9
NOP vs. OKC,2/14/2019,W,48,131,50,92,54.3,12,26,46.2,19,24,79.2,13,38,51,35,15,7,7,15,9
ATL vs. NYK,2/14/2019,L,48,91,33,91,36.3,10,38,26.3,15,19,78.9,10,31,41,19,12,8,4,24,-15
ORL vs. CHA,2/14/2019,W,48,127,48,92,52.2,17,39,43.6,14,18,77.8,8,42,50,32,7,6,6,15,38
CHA @ ORL,2/14/2019,L,48,89,33,94,35.1,4,31,12.9,19,26,73.1,13,32,45,18,8,6,4,19,-38
OKC @ NOP,2/14/2019,L,48,122,50,106,47.2,10,44,22.7,12,13,92.3,17,31,48,27,13,8,6,21,-9
NYK @ ATL,2/14/2019,W,48,106,38,84,45.2,12,31,38.7,18,26,69.2,11,41,52,21,14,9,9,22,15
PHX @ CLE,2/21/2019,L,48,98,35,84,41.7,10,32,31.3,18,25,72,11,27,38,26,17,12,6,18,-13
POR @ BKN,2/21/2019,W,48,113,46,105,43.8,7,32,21.9,14,16,87.5,19,41,60,19,14,7,9,21,14
GSW vs. SAC,2/21/2019,W,48,125,43,94,45.7,19,46,41.3,20,24,83.3,8,41,49,32,15,5,11,26,2
MIA @ PHI,2/21/2019,L,48,102,45,94,47.9,6,22,27.3,6,12,50,7,33,40,27,9,11,4,28,-4
SAC @ GSW,2/21/2019,L,48,123,43,99,43.4,10,33,30.3,27,34,79.4,14,38,52,23,13,10,3,24,-2
CLE vs. PHX,2/21/2019,W,48,111,42,85,49.4,13,36,36.1,14,20,70,10,41,51,34,18,11,4,23,13
BOS @ MIL,2/21/2019,L,48,97,39,102,38.2,14,40,35,5,6,83.3,12,38,50,19,7,11,9,15,-1
MIL vs. BOS,2/21/2019,W,48,98,37,88,42,14,39,35.9,10,14,71.4,9,46,55,21,16,5,4,11,1
LAL vs. HOU,2/21/2019,W,48,111,38,86,44.2,8,30,26.7,27,33,81.8,12,37,49,22,18,4,4,17,5
PHI vs. MIA,2/21/2019,W,48,106,37,82,45.1,7,26,26.9,25,35,71.4,12,39,51,23,15,5,4,13,4
HOU @ LAL,2/21/2019,L,48,106,40,88,45.5,12,41,29.3,14,15,93.3,4,35,39,18,15,8,5,28,-5
BKN vs. POR,2/21/2019,L,48,99,36,92,39.1,7,36,19.4,20,26,76.9,12,37,49,26,12,4,2,19,-14
ATL vs. DET,2/22/2019,L,48,122,43,88,48.9,20,42,47.6,16,19,84.2,10,37,47,21,18,6,4,24,-3
CHI @ ORL,2/22/2019,W,48,110,40,90,44.4,12,29,41.4,18,19,94.7,6,33,39,18,8,8,4,19,1
CHA vs. WAS,2/22/2019,W,48,123,46,96,47.9,13,33,39.4,18,22,81.8,11,42,53,26,14,7,6,20,13
SAS @ TOR,2/22/2019,L,48,117,43,89,48.3,12,37,32.4,19,22,86.4,9,39,48,27,14,7,6,22,-3
ORL vs. CHI,2/22/2019,L,48,109,41,81,50.6,14,34,41.2,13,24,54.2,8,38,46,25,14,4,6,14,-1
UTA @ OKC,2/22/2019,L,58,147,52,105,49.5,18,40,45,25,31,80.6,15,46,61,33,25,8,10,25,-1
OKC vs. UTA,2/22/2019,W,58,148,55,118,46.6,18,44,40.9,20,25,80,11,32,43,29,11,16,5,29,1
IND vs. NOP,2/22/2019,W,48,126,44,93,47.3,14,32,43.8,24,35,68.6,13,35,48,28,11,10,5,24,15
MIN @ NYK,2/22/2019,W,48,115,41,87,47.1,11,24,45.8,22,32,68.8,7,35,42,22,13,13,8,20,11
MEM vs. LAC,2/22/2019,L,48,106,33,90,36.7,9,32,28.1,31,36,86.1,11,28,39,20,11,10,6,31,-6
TOR vs. SAS,2/22/2019,W,48,120,40,94,42.6,14,30,46.7,26,32,81.3,14,33,47,24,9,8,3,20,3
NOP @ IND,2/22/2019,L,48,111,43,93,46.2,8,27,29.6,17,30,56.7,14,37,51,25,17,5,5,25,-15
NYK vs. MIN,2/22/2019,L,48,104,37,86,43,11,29,37.9,19,24,79.2,8,39,47,15,23,9,8,22,-11
LAC @ MEM,2/22/2019,W,48,112,35,75,46.7,6,25,24,36,42,85.7,7,42,49,21,24,8,4,30,6
WAS @ CHA,2/22/2019,L,48,110,42,97,43.3,10,39,25.6,16,18,88.9,11,32,43,24,13,6,6,20,-13
DEN @ DAL,2/22/2019,W,48,114,42,103,40.8,14,37,37.8,16,25,64,21,42,63,32,13,11,2,26,10
DAL vs. DEN,2/22/2019,L,48,104,34,84,40.5,10,41,24.4,26,33,78.8,7,35,42,19,15,7,2,21,-10
DET @ ATL,2/22/2019,W,48,125,46,95,48.4,15,40,37.5,18,28,64.3,10,34,44,20,8,11,4,21,3
PHX @ ATL,2/23/2019,L,48,112,41,93,44.1,13,37,35.1,17,20,85,6,35,41,25,12,9,4,29,-8
WAS vs. IND,2/23/2019,L,48,112,42,79,53.2,13,35,37.1,15,21,71.4,8,24,32,27,22,15,5,23,-7
PHI vs. POR,2/23/2019,L,48,115,42,87,48.3,9,24,37.5,22,28,78.6,7,26,33,28,11,5,5,23,-15
HOU @ GSW,2/23/2019,W,48,118,40,92,43.5,16,43,37.2,22,24,91.7,12,37,49,26,15,13,7,23,6
BOS @ CHI,2/23/2019,L,48,116,45,92,48.9,10,29,34.5,16,21,76.2,6,26,32,26,7,6,7,18,-10
LAL @ NOP,2/23/2019,L,48,115,44,81,54.3,10,29,34.5,17,26,65.4,6,33,39,33,23,10,3,21,-13
MIA vs. DET,2/23/2019,L,48,96,35,82,42.7,7,28,25,19,27,70.4,9,24,33,18,13,6,6,22,-23
NOP vs. LAL,2/23/2019,W,48,128,50,96,52.1,15,40,37.5,13,16,81.3,9,32,41,31,18,14,4,21,13
CLE vs. MEM,2/23/2019,W,48,112,39,88,44.3,16,42,38.1,18,23,78.3,14,38,52,25,19,6,3,26,5
IND @ WAS,2/23/2019,W,48,119,47,83,56.6,11,25,44,14,22,63.6,12,29,41,29,23,13,0,21,7
DAL @ UTA,2/23/2019,L,48,109,41,97,42.3,13,36,36.1,14,18,77.8,8,34,42,25,3,2,3,28,-16
BKN @ CHA,2/23/2019,W,48,117,40,87,46,17,43,39.5,20,26,76.9,11,31,42,23,13,5,6,26,2
UTA vs. DAL,2/23/2019,W,48,125,41,85,48.2,14,38,36.8,29,33,87.9,8,45,53,28,7,2,9,21,16
POR @ PHI,2/23/2019,W,48,130,49,99,49.5,5,23,21.7,27,29,93.1,19,34,53,29,11,8,6,23,15
ATL vs. PHX,2/23/2019,W,48,120,38,92,41.3,12,33,36.4,32,38,84.2,12,38,50,22,14,8,9,22,8
OKC vs. SAC,2/23/2019,L,48,116,40,105,38.1,14,46,30.4,22,28,78.6,16,43,59,17,14,2,6,26,-3
SAC @ OKC,2/23/2019,W,48,119,44,97,45.4,7,19,36.8,24,34,70.6,7,40,47,24,9,7,7,21,3
CHI vs. BOS,2/23/2019,W,48,126,47,88,53.4,12,30,40,20,21,95.2,11,38,49,26,13,4,2,22,10
MIN @ MIL,2/23/2019,L,48,128,50,102,49,12,26,46.2,16,20,80,12,29,41,29,10,7,2,16,-12
MIL vs. MIN,2/23/2019,W,48,140,50,95,52.6,19,43,44.2,21,22,95.5,10,39,49,28,11,6,8,17,12
CHA vs. BKN,2/23/2019,L,48,115,39,86,45.3,12,35,34.3,25,30,83.3,12,30,42,15,12,4,5,23,-2
DET @ MIA,2/23/2019,W,48,119,42,80,52.5,14,33,42.4,21,26,80.8,7,34,41,21,14,6,5,24,23
MEM @ CLE,2/23/2019,L,48,107,40,90,44.4,5,25,20,22,28,78.6,15,28,43,18,12,7,6,21,-5
GSW vs. HOU,2/23/2019,L,48,112,42,90,46.7,14,36,38.9,14,20,70,9,36,45,26,18,9,10,19,-6
DEN vs. LAC,2/24/2019,W,48,123,44,85,51.8,12,34,35.3,23,35,65.7,12,44,56,30,23,11,6,28,27
NYK vs. SAS,2/24/2019,W,48,130,50,98,51,16,37,43.2,14,19,73.7,12,37,49,25,7,3,7,27,12
TOR vs. ORL,2/24/2019,L,48,98,38,91,41.8,11,28,39.3,11,14,78.6,6,36,42,30,13,6,2,20,-15
SAS @ NYK,2/24/2019,L,48,118,42,94,44.7,6,24,25,28,31,90.3,14,36,50,18,7,3,4,20,-12
LAC @ DEN,2/24/2019,L,48,96,30,87,34.5,3,21,14.3,33,37,89.2,7,31,38,20,17,9,7,27,-27
ORL @ TOR,2/24/2019,W,48,113,42,91,46.2,14,36,38.9,15,20,75,12,40,52,29,13,6,8,16,15
POR @ CLE,2/25/2019,W,48,123,44,78,56.4,18,29,62.1,17,22,77.3,6,39,45,26,13,5,6,24,13
NOP vs. PHI,2/25/2019,L,48,110,44,104,42.3,5,28,17.9,17,24,70.8,14,40,54,29,14,15,8,19,-1
LAL @ MEM,2/25/2019,L,48,105,40,89,44.9,10,27,37,15,20,75,10,36,46,25,17,8,5,28,-5
MEM vs. LAL,2/25/2019,W,48,110,41,93,44.1,9,36,25,19,23,82.6,15,42,57,20,15,7,5,21,5
SAC @ MIN,2/25/2019,L,48,105,37,95,38.9,9,26,34.6,22,29,75.9,14,30,44,20,20,13,2,27,-7
MIA vs. PHX,2/25/2019,L,48,121,48,97,49.5,9,29,31,16,20,80,14,30,44,31,14,10,4,20,-3
DAL @ LAC,2/25/2019,L,48,112,37,76,48.7,14,36,38.9,24,27,88.9,7,38,45,28,17,3,9,20,-9
HOU vs. ATL,2/25/2019,W,48,119,39,90,43.3,15,51,29.4,26,30,86.7,12,25,37,24,14,11,4,18,8
ATL @ HOU,2/25/2019,L,48,111,39,80,48.8,17,38,44.7,16,23,69.6,10,31,41,21,17,6,6,24,-8
IND @ DET,2/25/2019,L,48,109,40,87,46,10,26,38.5,19,21,90.5,12,30,42,23,11,8,8,23,-4
BKN vs. SAS,2/25/2019,W,48,101,35,81,43.2,19,50,38,12,16,75,6,45,51,24,16,5,5,15,16
LAC vs. DAL,2/25/2019,W,48,121,45,100,45,17,45,37.8,14,18,77.8,9,31,40,33,6,11,4,22,9
GSW @ CHA,2/25/2019,W,48,121,48,95,50.5,14,41,34.1,11,13,84.6,13,36,49,35,15,9,8,18,11
MIL @ CHI,2/25/2019,W,48,117,42,91,46.2,17,49,34.7,16,23,69.6,8,37,45,26,8,3,6,22,11
CHI vs. MIL,2/25/2019,L,48,106,41,92,44.6,9,26,34.6,15,22,68.2,6,35,41,31,7,3,3,18,-11
PHI @ NOP,2/25/2019,W,48,111,44,101,43.6,10,31,32.3,13,19,68.4,15,43,58,23,20,9,8,19,1
SAS @ BKN,2/25/2019,L,48,85,35,96,36.5,4,24,16.7,11,12,91.7,10,37,47,14,11,6,6,13,-16
DET vs. IND,2/25/2019,W,48,113,39,88,44.3,18,41,43.9,17,26,65.4,15,32,47,28,12,8,4,20,4
PHX @ MIA,2/25/2019,W,48,124,45,89,50.6,13,32,40.6,21,25,84,7,32,39,30,14,9,1,20,3
CLE vs. POR,2/25/2019,L,48,110,37,89,41.6,13,34,38.2,23,26,88.5,13,27,40,22,8,4,1,20,-13
CHA vs. GSW,2/25/2019,L,48,110,40,91,44,7,33,21.2,23,26,88.5,9,29,38,23,12,13,6,11,-11
MIN vs. SAC,2/25/2019,W,48,112,42,83,50.6,8,31,25.8,20,28,71.4,7,42,49,23,22,10,6,28,7
TOR vs. BOS,2/26/2019,W,48,118,46,94,48.9,17,36,47.2,9,14,64.3,8,37,45,33,9,7,5,24,23
DEN vs. OKC,2/26/2019,W,48,121,41,88,46.6,13,28,46.4,26,35,74.3,11,36,47,28,18,9,4,28,9
NYK vs. ORL,2/26/2019,W,48,108,38,89,42.7,7,24,29.2,25,32,78.1,14,37,51,17,10,11,7,15,5
OKC @ DEN,2/26/2019,L,48,112,43,95,45.3,10,38,26.3,16,25,64,14,32,46,31,17,10,5,34,-9
BOS @ TOR,2/26/2019,L,48,95,33,86,38.4,6,30,20,23,28,82.1,10,37,47,24,14,6,4,20,-23
ORL @ NYK,2/26/2019,L,48,103,39,89,43.8,11,32,34.4,14,20,70,12,35,47,26,16,6,7,21,-5
DET @ SAS,2/27/2019,L,48,93,36,100,36,15,38,39.5,6,7,85.7,8,33,41,19,6,6,3,14,-12
LAC @ UTA,2/27/2019,L,48,105,37,94,39.4,5,26,19.2,26,30,86.7,11,36,47,16,11,11,6,26,-6
SAS vs. DET,2/27/2019,W,48,105,42,81,51.9,9,17,52.9,12,17,70.6,7,48,55,24,12,3,7,11,12
MIA vs. GSW,2/27/2019,W,48,126,42,83,50.6,18,41,43.9,24,30,80,12,36,48,20,14,4,6,31,1
UTA vs. LAC,2/27/2019,W,48,111,38,92,41.3,11,34,32.4,24,32,75,14,42,56,22,16,9,12,23,6
HOU @ CHA,2/27/2019,W,48,118,42,91,46.2,13,39,33.3,21,24,87.5,7,30,37,23,10,11,3,22,5
NOP @ LAL,2/27/2019,L,48,119,46,102,45.1,7,35,20,20,27,74.1,14,38,52,31,13,6,3,27,-6
MIN @ ATL,2/27/2019,L,53,123,44,102,43.1,12,38,31.6,23,33,69.7,9,38,47,29,7,8,7,24,-8
LAL vs. NOP,2/27/2019,W,48,125,49,94,52.1,8,25,32,19,31,61.3,6,33,39,37,8,7,8,22,6
IND @ DAL,2/27/2019,L,48,101,37,77,48.1,10,28,35.7,17,21,81,6,32,38,19,15,10,3,23,-9
CHI @ MEM,2/27/2019,W,48,109,39,82,47.6,8,24,33.3,23,25,92,7,35,42,20,15,12,9,20,2
CHA vs. HOU,2/27/2019,L,48,113,39,83,47,12,33,36.4,23,27,85.2,8,40,48,25,18,9,5,22,-5
MIL @ SAC,2/27/2019,W,53,141,54,112,48.2,17,45,37.8,16,21,76.2,11,46,57,36,11,3,14,18,1
ATL vs. MIN,2/27/2019,W,53,131,46,108,42.6,12,29,41.4,27,32,84.4,18,47,65,32,12,1,6,25,8
DAL vs. IND,2/27/2019,W,48,110,40,81,49.4,16,37,43.2,14,23,60.9,10,32,42,27,17,11,1,22,9
SAC vs. MIL,2/27/2019,L,53,140,53,118,44.9,12,33,36.4,22,30,73.3,15,43,58,30,8,6,6,19,-1
GSW @ MIA,2/27/2019,L,48,125,44,89,49.4,17,48,35.4,20,28,71.4,8,29,37,21,10,7,3,21,-1
POR @ BOS,2/27/2019,W,48,97,38,90,42.2,6,33,18.2,15,20,75,13,35,48,14,12,11,2,15,5
WAS @ BKN,2/27/2019,W,48,125,44,96,45.8,11,37,29.7,26,31,83.9,17,40,57,34,19,10,4,30,9
BOS vs. POR,2/27/2019,L,48,92,40,86,46.5,5,28,17.9,7,10,70,8,33,41,20,17,5,4,20,-5
BKN vs. WAS,2/27/2019,L,48,116,39,85,45.9,8,35,22.9,30,39,76.9,7,34,41,20,16,7,3,27,-9
MEM vs. CHI,2/27/2019,L,48,107,41,94,43.6,9,27,33.3,16,18,88.9,12,34,46,25,16,7,5,17,-2
UTA @ DEN,2/28/2019,W,48,111,37,84,44,16,43,37.2,21,33,63.6,10,34,44,25,11,6,6,22,7
MIN @ IND,2/28/2019,L,48,115,42,89,47.2,8,26,30.8,23,34,67.6,21,35,56,16,18,5,7,24,-7
HOU vs. MIA,2/28/2019,W,48,121,38,77,49.4,19,46,41.3,26,28,92.9,8,28,36,22,16,6,5,21,3
GSW @ ORL,2/28/2019,L,48,96,39,97,40.2,9,40,22.5,9,10,90,9,38,47,16,12,5,3,14,-7
ORL vs. GSW,2/28/2019,W,48,103,40,89,44.9,11,31,35.5,12,15,80,9,44,53,24,15,2,9,14,7
MIA @ HOU,2/28/2019,L,48,118,42,81,51.9,15,28,53.6,19,24,79.2,8,26,34,28,14,9,2,22,-3
IND vs. MIN,2/28/2019,W,48,122,40,84,47.6,16,27,59.3,26,31,83.9,8,27,35,35,11,8,11,21,7
PHI @ OKC,2/28/2019,W,48,108,42,91,46.2,12,30,40,12,19,63.2,8,36,44,33,14,9,5,24,4
NYK vs. CLE,2/28/2019,L,48,118,46,95,48.4,11,32,34.4,15,23,65.2,14,26,40,26,10,4,3,28,-7
DEN vs. UTA,2/28/2019,L,48,104,40,99,40.4,7,25,28,17,24,70.8,16,39,55,25,13,6,5,23,-7
OKC vs. PHI,2/28/2019,L,48,104,38,87,43.7,8,27,29.6,20,28,71.4,8,36,44,28,12,5,3,18,-4
CLE @ NYK,2/28/2019,W,48,125,41,80,51.3,14,34,41.2,29,36,80.6,8,32,40,24,13,5,3,20,7
TOR vs. POR,3/1/2019,W,48,119,45,81,55.6,10,28,35.7,19,21,90.5,2,30,32,29,14,9,6,17,2
LAC @ SAC,3/1/2019,W,48,116,40,92,43.5,12,31,38.7,24,33,72.7,16,42,58,19,12,4,6,23,7
ATL vs. CHI,3/1/2019,L,68,161,61,123,49.6,22,60,36.7,17,25,68,9,50,59,33,20,11,8,34,-7
MIL @ LAL,3/1/2019,W,48,131,48,93,51.6,14,40,35,21,24,87.5,11,40,51,30,11,4,6,15,11
BOS vs. WAS,3/1/2019,W,48,107,42,94,44.7,10,35,28.6,13,17,76.5,11,35,46,26,12,12,3,18,11
POR @ TOR,3/1/2019,L,48,117,42,85,49.4,14,33,42.4,19,23,82.6,9,33,42,24,18,9,4,25,-2
CHA @ BKN,3/1/2019,W,48,123,50,94,53.2,9,21,42.9,14,17,82.4,10,30,40,24,14,6,4,25,11
LAL vs. MIL,3/1/2019,L,48,120,46,96,47.9,13,40,32.5,15,18,83.3,8,32,40,29,9,4,4,21,-11
WAS @ BOS,3/1/2019,L,48,96,36,89,40.4,10,38,26.3,14,19,73.7,11,42,53,20,18,7,6,16,-11
CHI @ ATL,3/1/2019,W,68,168,56,119,47.1,21,48,43.8,35,48,72.9,11,51,62,30,17,10,5,30,7
BKN vs. CHA,3/1/2019,L,48,112,44,86,51.2,10,32,31.3,14,18,77.8,7,30,37,27,17,2,5,19,-11
SAC vs. LAC,3/1/2019,L,48,109,41,93,44.1,6,21,28.6,21,25,84,8,38,46,27,8,6,8,25,-7
PHX vs. NOP,3/1/2019,L,48,116,40,94,42.6,12,34,35.3,24,28,85.7,12,27,39,25,19,17,2,21,-14
NOP @ PHX,3/1/2019,W,48,130,50,87,57.5,16,27,59.3,14,20,70,10,40,50,34,25,13,4,18,14
MEM @ DAL,3/2/2019,W,48,111,39,78,50,14,34,41.2,19,24,79.2,4,46,50,30,15,4,6,30,30
NOP @ DEN,3/2/2019,W,48,120,45,92,48.9,12,30,40,18,26,69.2,12,35,47,28,21,10,4,25,8
GSW @ PHI,3/2/2019,W,48,120,41,81,50.6,14,33,42.4,24,34,70.6,4,35,39,23,14,14,7,22,3
SAS vs. OKC,3/2/2019,W,48,116,45,91,49.5,8,19,42.1,18,25,72,11,38,49,15,11,8,6,19,14
PHX vs. LAL,3/2/2019,W,48,118,39,76,51.3,6,26,23.1,34,40,85,9,32,41,21,13,7,8,22,9
LAL @ PHX,3/2/2019,L,48,109,43,89,48.3,8,25,32,15,23,65.2,10,30,40,27,12,3,3,24,-9
DET @ CLE,3/2/2019,W,48,129,47,87,54,20,37,54.1,15,17,88.2,9,42,51,27,12,5,8,24,36
MIA vs. BKN,3/2/2019,W,48,117,44,90,48.9,14,34,41.2,15,22,68.2,11,46,57,36,12,5,9,19,29
DEN vs. NOP,3/2/2019,L,48,112,39,92,42.4,9,32,28.1,25,29,86.2,10,34,44,25,16,13,7,22,-8
OKC @ SAS,3/2/2019,L,48,102,40,88,45.5,7,29,24.1,15,24,62.5,11,34,45,17,13,7,2,19,-14
ORL @ IND,3/2/2019,W,48,117,46,91,50.5,10,28,35.7,15,19,78.9,11,30,41,28,9,7,5,20,5
MIL @ UTA,3/2/2019,L,48,111,37,96,38.5,15,39,38.5,22,30,73.3,17,36,53,20,15,6,10,22,-4
DAL vs. MEM,3/2/2019,L,48,81,26,85,30.6,7,40,17.5,22,33,66.7,13,30,43,17,10,9,5,23,-30
CLE vs. DET,3/2/2019,L,48,93,27,79,34.2,13,34,38.2,26,32,81.3,9,24,33,15,12,7,1,19,-36
UTA vs. MIL,3/2/2019,W,48,115,44,96,45.8,12,29,41.4,15,26,57.7,16,37,53,22,13,13,7,23,4
BKN @ MIA,3/2/2019,L,48,88,31,88,35.2,9,42,21.4,17,22,77.3,7,29,36,20,12,6,6,14,-29
IND vs. ORL,3/2/2019,L,48,112,42,77,54.5,7,27,25.9,21,24,87.5,3,33,36,31,11,5,6,17,-5
PHI vs. GSW,3/2/2019,L,48,117,39,87,44.8,14,31,45.2,25,29,86.2,11,35,46,26,21,6,3,25,-3
MIN @ WAS,3/3/2019,L,48,121,52,99,52.5,4,27,14.8,13,19,68.4,12,34,46,25,12,3,4,24,-14
BOS vs. HOU,3/3/2019,L,48,104,37,77,48.1,8,28,28.6,22,29,75.9,8,36,44,23,13,7,0,23,-11
OKC vs. MEM,3/3/2019,W,48,99,33,93,35.5,9,30,30,24,33,72.7,17,36,53,19,14,10,5,19,4
ORL @ CLE,3/3/2019,L,48,93,39,88,44.3,6,26,23.1,9,11,81.8,8,33,41,23,11,5,4,17,-14
CHA vs. POR,3/3/2019,L,48,108,37,83,44.6,14,33,42.4,20,23,87,4,31,35,25,12,7,5,21,-10
CLE vs. ORL,3/3/2019,W,48,107,36,83,43.4,14,43,32.6,21,23,91.3,9,35,44,20,13,7,2,15,14
POR @ CHA,3/3/2019,W,48,118,43,96,44.8,11,32,34.4,21,23,91.3,13,35,48,26,11,9,3,23,10
LAC vs. NYK,3/3/2019,W,48,128,48,98,49,19,35,54.3,13,17,76.5,9,44,53,33,17,5,4,28,21
DET vs. TOR,3/3/2019,W,53,112,40,86,46.5,12,33,36.4,20,29,69,8,38,46,25,18,10,3,24,5
MEM @ OKC,3/3/2019,L,48,95,35,79,44.3,7,22,31.8,18,19,94.7,4,40,44,22,22,9,9,25,-4
HOU @ BOS,3/3/2019,W,48,115,38,80,47.5,21,51,41.2,18,29,62.1,10,32,42,22,12,8,4,23,11
WAS vs. MIN,3/3/2019,W,48,135,49,98,50,11,33,33.3,26,32,81.3,15,31,46,30,9,6,4,19,14
NYK @ LAC,3/3/2019,L,48,107,35,88,39.8,11,29,37.9,26,34,76.5,9,37,46,23,13,9,9,19,-21
TOR @ DET,3/3/2019,L,53,107,37,96,38.5,14,39,35.9,19,24,79.2,18,32,50,22,16,8,3,28,-5
ATL @ CHI,3/3/2019,W,48,123,42,89,47.2,21,42,50,18,28,64.3,11,35,46,30,13,10,5,18,5
CHI vs. ATL,3/3/2019,L,48,118,47,92,51.1,8,27,29.6,16,21,76.2,9,33,42,25,14,6,5,20,-5
SAS vs. DEN,3/4/2019,W,48,104,41,85,48.2,8,25,32,14,19,73.7,6,37,43,27,9,8,7,13,1
MIA vs. ATL,3/4/2019,W,48,114,44,79,55.7,9,23,39.1,17,24,70.8,7,33,40,23,19,9,7,24,1
UTA vs. NOP,3/4/2019,L,48,112,43,92,46.7,14,38,36.8,12,14,85.7,13,34,47,35,18,3,6,17,-3
LAC @ LAL,3/4/2019,W,48,113,41,83,49.4,11,29,37.9,20,24,83.3,8,42,50,25,16,7,3,22,8
NOP @ UTA,3/4/2019,W,48,115,46,96,47.9,9,20,45,14,18,77.8,12,32,44,24,8,12,5,20,3
DEN @ SAS,3/4/2019,L,48,103,41,95,43.2,17,40,42.5,4,4,100,8,35,43,27,13,5,3,17,-1
SAC vs. NYK,3/4/2019,W,48,115,39,83,47,11,29,37.9,26,33,78.8,6,37,43,28,14,11,3,24,7
LAL vs. LAC,3/4/2019,L,48,105,38,91,41.8,10,38,26.3,19,24,79.2,7,33,40,22,12,2,6,21,-8
ATL @ MIA,3/4/2019,L,48,113,38,91,41.8,17,46,37,20,25,80,16,26,42,25,14,9,2,21,-1
NYK @ SAC,3/4/2019,L,48,108,39,85,45.9,12,29,41.4,18,28,64.3,10,38,48,17,18,8,5,25,-7
MIL @ PHX,3/4/2019,L,48,105,35,95,36.8,12,42,28.6,23,31,74.2,18,39,57,17,15,8,2,25,-9
PHX vs. MIL,3/4/2019,W,48,114,41,91,45.1,7,22,31.8,25,31,80.6,17,39,56,22,14,10,10,23,9
