MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
MIL @ SAS,11/10/2017,W,48,94,41,89,46.1,5,18,27.8,7,14,50,11,36,47,27,14,10,7,13,7
BKN @ POR,11/10/2017,W,48,101,39,91,42.9,12,38,31.6,11,19,57.9,11,38,49,25,10,7,4,13,4
LAC @ OKC,11/10/2017,L,48,111,39,84,46.4,12,30,40,21,30,70,16,30,46,13,19,4,2,30,-9
CHA @ BOS,11/10/2017,L,48,87,31,80,38.8,6,22,27.3,19,33,57.6,7,40,47,20,14,5,7,21,-3
CHI vs. IND,11/10/2017,L,48,87,37,93,39.8,7,27,25.9,6,9,66.7,11,32,43,24,12,10,3,13,-18
ATL @ DET,11/10/2017,L,48,104,44,89,49.4,8,24,33.3,8,11,72.7,11,34,45,28,16,11,7,21,-7
MIA @ UTA,11/10/2017,W,48,84,30,77,39,10,25,40,14,18,77.8,7,41,48,10,20,9,6,20,10
UTA vs. MIA,11/10/2017,L,48,74,25,74,33.8,5,21,23.8,19,22,86.4,4,36,40,12,18,10,7,20,-10
OKC vs. LAC,11/10/2017,W,48,120,40,78,51.3,11,26,42.3,29,40,72.5,11,29,40,23,11,8,7,29,9
IND @ CHI,11/10/2017,W,48,105,43,84,51.2,12,29,41.4,7,12,58.3,7,44,51,27,18,8,3,17,18
PHX vs. ORL,11/10/2017,L,48,112,44,94,46.8,5,24,20.8,19,25,76,12,28,40,13,15,8,5,29,-16
BOS vs. CHA,11/10/2017,W,48,90,30,84,35.7,9,31,29,21,25,84,9,40,49,15,13,6,5,26,3
NYK vs. SAC,11/11/2017,W,48,118,47,90,52.2,12,27,44.4,12,15,80,8,32,40,29,11,6,6,22,27
LAC @ NOP,11/11/2017,L,48,103,35,86,40.7,10,26,38.5,23,27,85.2,8,29,37,16,12,12,1,24,-8
MIL vs. LAL,11/11/2017,W,48,98,35,85,41.2,6,23,26.1,22,26,84.6,9,33,42,16,16,11,4,27,8
NOP vs. LAC,11/11/2017,W,48,111,43,80,53.8,6,16,37.5,19,24,79.2,8,43,51,26,23,7,4,19,8
ATL @ WAS,11/11/2017,L,48,94,34,83,41,14,33,42.4,12,17,70.6,10,22,32,19,24,11,1,23,-19
MEM @ HOU,11/11/2017,L,48,96,38,79,48.1,6,20,30,14,18,77.8,5,36,41,23,20,9,5,20,-15
PHX vs. MIN,11/11/2017,W,48,118,46,86,53.5,10,26,38.5,16,24,66.7,7,39,46,21,18,4,10,25,8
